n	load_factor	entry_count	i_refs	i_misses	lli_misses	i_missrate	lli_missrate	d_refs	d_refs_rd	d_refs_wr	d_misses	d_misses_rd	d_misses_wr	lld_misses	lld_misses_rd	lld_misses_wr	d_missrate	d_missrate_rd	d_missrate_wr	lld_missrate	lld_missrate_rd	lld_missrate_wr	ll_refs	ll_refs_rd	ll_refs_wr	ll_misses	ll_misses_rd	ll_misses_wr	ll_missrate	ll_missrate_rd	ll_missrate_wr	initial_fill	rm	fill	rm	fill	
20	0.5	524288	293920089	1434	1424	0.00%	0.00%	132244768	77161184	55083584	10007865	6293267	3714598	3081331	1369396	1711935	7.6%	8.2%	6.7%	2.3%	1.8%	3.1%	10009299	6294701	3714598	3082755	1370820	1711935	0.7%	0.4%	3.1%	0.283889	0.601358	0.263558	0.540223	0.252883	
20	0.95	996147	575380545	1438	1428	0.00%	0.00%	255012859	156235269	98777590	19006298	12770998	6235300	5949907	3042356	2907551	7.5%	8.2%	6.3%	2.3%	1.9%	2.9%	19007736	12772436	6235300	5951335	3043784	2907551	0.7%	0.4%	2.9%	0.567116	1.086133	0.520205	1.057135	0.515615	
21	0.5	1048576	587435934	1436	1426	0.00%	0.00%	264322696	154200424	110122272	20018785	12579659	7439126	10790663	5698356	5092307	7.6%	8.2%	6.8%	4.1%	3.7%	4.6%	20020221	12581095	7439126	10792089	5699782	5092307	1.3%	0.8%	4.6%	0.586080	1.175852	0.544597	1.241829	0.547172	
21	0.95	1992294	1147720575	1424	1414	0.00%	0.00%	508435903	311294733	197141170	38003699	25518859	12484840	20609488	12077684	8531804	7.5%	8.2%	6.3%	4.1%	3.9%	4.3%	38005123	25520283	12484840	20610902	12079098	8531804	1.2%	0.8%	4.3%	1.206493	2.284288	1.147451	2.241384	1.138070	
22	0.5	2097152	1174637940	1423	1413	0.00%	0.00%	528563718	308341000	220222718	40041520	25164159	14877361	37719672	22907180	14812492	7.6%	8.2%	6.8%	7.1%	7.4%	6.7%	40042943	25165582	14877361	37721085	22908593	14812492	2.2%	1.5%	6.7%	1.210027	2.420240	1.134541	2.416628	1.148671	
22	0.95	3984588	2315877107	1424	1414	0.00%	0.00%	1026846739	629844644	397002095	76131001	51634239	24496762	71836368	47445807	24390561	7.4%	8.2%	6.2%	7.0%	7.5%	6.1%	76132425	51635663	24496762	71837782	47447221	24390561	2.1%	1.6%	6.1%	2.487816	4.632632	2.377864	4.617577	2.401267	
23	0.5	4194304	2349043008	1422	1412	0.00%	0.00%	1057046010	616622335	440423675	80083403	50329274	29754129	78521890	48790856	29731034	7.6%	8.2%	6.8%	7.4%	7.9%	6.8%	80084825	50330696	29754129	78523302	48792268	29731034	2.3%	1.6%	6.8%	2.352786	4.815909	2.243419	4.787524	2.220667	
23	0.95	7969177	4613101919	1444	1434	0.00%	0.00%	2044410792	1252906991	791503801	152168979	102647380	49521599	149303704	99810968	49492736	7.4%	8.2%	6.3%	7.3%	8.0%	6.3%	152170423	102648824	49521599	149305138	99812402	49492736	2.2%	1.7%	6.3%	4.807883	9.310368	4.691825	9.310335	4.689047	
24	0.5	8388608	4697854515	1461	1451	0.00%	0.00%	2114011102	1233185357	880825745	160166971	100659517	59507454	159000147	99504528	59495619	7.6%	8.2%	6.8%	7.5%	8.1%	6.8%	160168432	100660978	59507454	159001598	99505979	59495619	2.3%	1.7%	6.8%	4.715620	10.060443	4.528141	9.749485	4.551033	
24	0.95	15938355	9195656861	1469	1459	0.00%	0.00%	4074888854	2495780583	1579108271	304210973	204040685	100170288	302041314	201885700	100155614	7.5%	8.2%	6.3%	7.4%	8.1%	6.3%	304212442	204042154	100170288	302042773	201887159	100155614	2.3%	1.7%	6.3%	9.611054	18.748318	9.487459	18.717129	9.792950	
